song,artist,song_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Junk - Remastered 2011,Paul McCartney,2EnRJ8kjTFpEZZWwbTNKZM,0.712,0.0862,9.0,-17.696,1.0,0.0325,0.814,0.000259,0.191,0.315,90.666,audio_features,2EnRJ8kjTFpEZZWwbTNKZM,spotify:track:2EnRJ8kjTFpEZZWwbTNKZM,https://api.spotify.com/v1/tracks/2EnRJ8kjTFpEZZWwbTNKZM,https://api.spotify.com/v1/audio-analysis/2EnRJ8kjTFpEZZWwbTNKZM,115293.0,3.0
Ordinary Pain,Stevie Wonder,4vdIA5CJLRcL6qaUY2BUCd,0.653,0.605,10.0,-10.326,0.0,0.0499,0.0681,0.00251,0.0891,0.578,97.764,audio_features,4vdIA5CJLRcL6qaUY2BUCd,spotify:track:4vdIA5CJLRcL6qaUY2BUCd,https://api.spotify.com/v1/tracks/4vdIA5CJLRcL6qaUY2BUCd,https://api.spotify.com/v1/audio-analysis/4vdIA5CJLRcL6qaUY2BUCd,383160.0,4.0
I'm The Slime,Frank Zappa,6PjgiuQUxxlAtoKGh6ofzC,0.388,0.698,6.0,-12.709,0.0,0.0739,0.00228,0.413,0.193,0.833,173.004,audio_features,6PjgiuQUxxlAtoKGh6ofzC,spotify:track:6PjgiuQUxxlAtoKGh6ofzC,https://api.spotify.com/v1/tracks/6PjgiuQUxxlAtoKGh6ofzC,https://api.spotify.com/v1/audio-analysis/6PjgiuQUxxlAtoKGh6ofzC,214520.0,4.0
I'm The Slime,The Mothers,6PjgiuQUxxlAtoKGh6ofzC,0.388,0.698,6.0,-12.709,0.0,0.0739,0.00228,0.413,0.193,0.833,173.004,audio_features,6PjgiuQUxxlAtoKGh6ofzC,spotify:track:6PjgiuQUxxlAtoKGh6ofzC,https://api.spotify.com/v1/tracks/6PjgiuQUxxlAtoKGh6ofzC,https://api.spotify.com/v1/audio-analysis/6PjgiuQUxxlAtoKGh6ofzC,214520.0,4.0
"It's Alright, Ma (I'm Only Bleeding)",Bob Dylan,5Oer8yskMaCGXwGSfM7xr9,0.681,0.257,4.0,-15.348,1.0,0.0695,0.597,0.0,0.161,0.566,115.867,audio_features,5Oer8yskMaCGXwGSfM7xr9,spotify:track:5Oer8yskMaCGXwGSfM7xr9,https://api.spotify.com/v1/tracks/5Oer8yskMaCGXwGSfM7xr9,https://api.spotify.com/v1/audio-analysis/5Oer8yskMaCGXwGSfM7xr9,449093.0,4.0
Rocky Raccoon - Remastered 2009,The Beatles,1ITQbrueGLl581a25XXm9c,0.599,0.363,7.0,-11.728,1.0,0.0315,0.333,0.0,0.243,0.648,79.456,audio_features,1ITQbrueGLl581a25XXm9c,spotify:track:1ITQbrueGLl581a25XXm9c,https://api.spotify.com/v1/tracks/1ITQbrueGLl581a25XXm9c,https://api.spotify.com/v1/audio-analysis/1ITQbrueGLl581a25XXm9c,213107.0,4.0
You Won't Let Me Go,Ray Charles,33QprvgdcPnXA8R5wUwmdx,0.334,0.154,1.0,-15.56,1.0,0.0341,0.919,0.00069,0.107,0.36,62.377,audio_features,33QprvgdcPnXA8R5wUwmdx,spotify:track:33QprvgdcPnXA8R5wUwmdx,https://api.spotify.com/v1/tracks/33QprvgdcPnXA8R5wUwmdx,https://api.spotify.com/v1/audio-analysis/33QprvgdcPnXA8R5wUwmdx,201400.0,4.0
Violent Shiver,Benjamin Booker,6x8skkCl5PpaVPRCz3Ies9,0.249,0.97,1.0,-5.879,1.0,0.121,0.0226,0.13,0.0701,0.26,165.059,audio_features,6x8skkCl5PpaVPRCz3Ies9,spotify:track:6x8skkCl5PpaVPRCz3Ies9,https://api.spotify.com/v1/tracks/6x8skkCl5PpaVPRCz3Ies9,https://api.spotify.com/v1/audio-analysis/6x8skkCl5PpaVPRCz3Ies9,166480.0,4.0
"Hear My Train A comin' - Live 10/10/68 Winterland, San Francisco, CA",Jimi Hendrix,57c6JNZLnEKPjolN8xo8yj,0.379,0.516,8.0,-11.111,0.0,0.0584,0.00577,0.0592,0.229,0.423,137.509,audio_features,57c6JNZLnEKPjolN8xo8yj,spotify:track:57c6JNZLnEKPjolN8xo8yj,https://api.spotify.com/v1/tracks/57c6JNZLnEKPjolN8xo8yj,https://api.spotify.com/v1/audio-analysis/57c6JNZLnEKPjolN8xo8yj,693560.0,4.0
The Ballad of Dorothy Parker,Prince,13UqaNF8STsJSGKxd12rmy,0.89,0.577,2.0,-12.561,1.0,0.0709,0.287,0.00291,0.111,0.867,102.855,audio_features,13UqaNF8STsJSGKxd12rmy,spotify:track:13UqaNF8STsJSGKxd12rmy,https://api.spotify.com/v1/tracks/13UqaNF8STsJSGKxd12rmy,https://api.spotify.com/v1/audio-analysis/13UqaNF8STsJSGKxd12rmy,235453.0,4.0
Since I've Been Loving You - Remaster,Led Zeppelin,1SDiiE3v2z89VxC3aVRKHQ,0.393,0.364,5.0,-10.945,0.0,0.0345,0.0021,0.0703,0.121,0.308,118.566,audio_features,1SDiiE3v2z89VxC3aVRKHQ,spotify:track:1SDiiE3v2z89VxC3aVRKHQ,https://api.spotify.com/v1/tracks/1SDiiE3v2z89VxC3aVRKHQ,https://api.spotify.com/v1/audio-analysis/1SDiiE3v2z89VxC3aVRKHQ,444148.0,3.0
Strange Brew,Cream,3ET8TZWF5sP4SPfJK1lKun,0.62,0.398,2.0,-15.676,1.0,0.0303,0.556,6.91e-06,0.273,0.677,106.265,audio_features,3ET8TZWF5sP4SPfJK1lKun,spotify:track:3ET8TZWF5sP4SPfJK1lKun,https://api.spotify.com/v1/tracks/3ET8TZWF5sP4SPfJK1lKun,https://api.spotify.com/v1/audio-analysis/3ET8TZWF5sP4SPfJK1lKun,166600.0,4.0
